date,momentum_v1,static_equal_weight,static_inverse_vol,voo
2011-10-20,100000.0000,100000.0000,100000.0000,100000.0000
2011-10-21,100034.1106,101460.0874,101262.5953,101924.8132
2011-10-24,100595.6391,103244.5915,102884.1586,103220.0108
2011-10-25,103304.5703,102578.6588,102524.9139,101223.2555
2011-10-26,103002.1585,103200.7001,102944.7199,102194.6560
2011-10-27,102010.2256,106247.7476,105580.5763,105720.4585
2011-10-28,102535.7458,106052.0819,105436.0958,105828.4027
2011-10-31,103724.7304,103960.7280,103678.9344,103112.0666
2011-11-01,105267.8099,102291.1755,102272.7093,100377.7693
2011-11-02,105132.4204,103436.0868,103231.2683,101960.7621
2011-11-03,105245.2489,104890.1267,104561.4807,103849.6175
2011-11-04,105035.7835,104454.0824,104213.6685,103256.0040
2011-11-07,106651.9071,105342.1254,105216.2924,103849.6175
2011-11-08,105535.5290,105973.6888,105712.3353,105090.8519
2011-11-09,106142.3735,102886.7416,103036.7620,101295.1977
2011-11-10,105073.1424,103060.6264,103093.7791,102212.6349
2011-11-11,105638.7066,104755.4197,104622.6256,104209.4345
2011-11-14,106224.9142,103996.6372,103964.9371,103202.0142
2011-11-15,106204.0098,104468.9398,104424.1329,103741.6910
2011-11-16,106100.4421,103221.9258,103357.8664,102068.7329
2011-11-17,105145.0403,101591.9546,101718.6115,100431.7326
2011-11-18,105293.9952,101624.9427,101736.2711,100287.8128
2011-11-21,104322.8364,99814.4386,100110.0077,98488.9405
2011-11-22,105480.7094,100058.6982,100462.3613,97967.2869
2011-11-23,105857.7062,98375.8788,98980.1885,95898.5452
2011-11-25,104623.6229,97607.3708,98193.7743,95610.7324
2011-11-28,105604.8294,100282.2089,100560.5912,98470.9705
2011-11-29,105244.6059,100359.4144,100721.4685,98758.8099
2011-11-30,105430.8512,103594.8935,103485.6634,102806.2749
2011-12-01,104896.0853,103237.2357,103154.5367,102734.2884
2011-12-02,105703.4643,103544.9890,103512.6977,102680.3606
2011-12-05,104823.6140,104063.9075,103830.6452,103795.6631
2011-12-06,104572.6106,103844.4006,103697.5568,103885.6018
2011-12-07,105140.2787,104046.5260,103852.0853,104227.3690
2011-12-08,104757.7719,102096.3379,102145.6767,101978.7941
2011-12-09,103768.4823,103151.2749,102969.3173,103705.7509
2011-12-12,103003.3309,101471.1787,101457.5137,102212.6349
2011-12-13,102414.9017,100614.8310,100730.9977,101241.2433
2011-12-14,101729.2023,99209.1873,99258.3851,100107.9531
2011-12-15,101351.1912,99332.8258,99278.9445,100485.7312
2011-12-16,102888.5134,99972.5231,99965.4515,100557.6645
2011-12-19,103485.3400,99143.3999,99305.1838,99532.3008
2011-12-20,102724.5212,101301.0039,101200.4886,102500.4743
2011-12-21,102012.8798,100447.0184,100502.6756,102806.2749
2011-12-22,101896.1022,100834.3397,100839.5059,103777.6665
2011-12-23,101372.0017,101195.3201,101167.6610,104597.4559
2011-12-27,101022.8448,101117.9547,101138.2415,104706.0381
2011-12-28,100827.3660,99979.3904,100099.8476,103421.1812
2011-12-29,100715.2265,100666.2842,100693.2640,104362.1885
2011-12-30,101401.6815,100698.7853,100738.7033,103964.0568
2012-01-03,101131.3096,102448.9831,102402.0750,105502.2662
2012-01-04,100541.4054,102335.5414,102363.3598,105683.2248
2012-01-05,100415.1786,102144.7100,102173.0939,106027.0743
2012-01-06,100567.6154,101910.2885,102047.8719,105809.9010
2012-01-09,100597.3251,102024.1079,102097.9609,105972.7566
2012-01-10,100865.1083,103128.0950,103081.8707,106877.6024
2012-01-11,101309.9429,103332.5703,103298.6330,106986.1669
2012-01-12,101278.2978,103392.8945,103267.6642,107221.4165
2012-01-13,101499.7665,102982.3012,102922.2974,106768.9936
2012-01-17,102024.7899,103754.4302,103667.6774,107058.5343
2012-01-18,101862.4411,104760.2301,104463.1896,108252.9120
