window_end,cagr,max_drawdown,sharpe
2014-10-22,-0.000476,-0.14206,0.045594
2014-11-20,0.001045,-0.135624,0.06009
2014-12-22,0.021519,-0.109259,0.267736
2015-01-23,0.041816,-0.104767,0.467211
2015-02-24,0.041177,-0.104767,0.462896
2015-03-25,0.058746,-0.101687,0.641452
2015-04-24,0.062254,-0.101687,0.677708
2015-05-26,0.051491,-0.101687,0.569696
2015-06-24,0.045052,-0.101687,0.501998
2015-07-24,0.034372,-0.101687,0.389028
2015-08-24,0.011184,-0.109871,0.159616
2015-09-23,0.016507,-0.11212,0.208251
2015-10-22,0.026993,-0.11212,0.306735
2015-11-20,0.031207,-0.11212,0.346223
2015-12-22,0.022009,-0.11212,0.258381
2016-01-25,0.004093,-0.157365,0.092006
2016-02-24,0.012297,-0.157365,0.167642
2016-03-24,0.014634,-0.159641,0.189426
2016-04-25,0.010733,-0.159641,0.153376
2016-05-24,0.01328,-0.159641,0.176487
2016-06-23,0.034156,-0.159641,0.365935
2016-07-25,0.042473,-0.159641,0.434486
2016-08-23,0.045749,-0.159641,0.464151
2016-09-22,0.033495,-0.159641,0.355498
2016-10-21,0.014606,-0.159641,0.187926
2016-11-21,0.009802,-0.159641,0.14464
2016-12-21,0.004503,-0.159641,0.095512
2017-01-24,0.023368,-0.159641,0.273
2017-02-23,0.024065,-0.159641,0.280578
2017-03-24,0.025363,-0.159641,0.289157
2017-04-25,0.034085,-0.159641,0.370261
2017-05-24,0.026962,-0.159641,0.303213
2017-06-23,0.018006,-0.159641,0.219977
2017-07-25,0.030069,-0.159641,0.32883
2017-08-23,0.015772,-0.159641,0.198429
2017-09-22,0.027798,-0.159641,0.307271
2017-10-23,0.04396,-0.159641,0.465576
2017-11-21,0.037548,-0.159641,0.405566
2017-12-21,0.036328,-0.159641,0.39339
2018-01-24,0.03939,-0.159641,0.420658
2018-02-23,0.029932,-0.159641,0.316453
2018-03-26,0.037215,-0.159641,0.37851
2018-04-25,0.028108,-0.158482,0.297258
2018-05-24,0.054078,-0.146409,0.515213
2018-06-25,0.045679,-0.146409,0.445476
2018-07-25,0.060641,-0.137157,0.568524
2018-08-23,0.085063,-0.106993,0.780118
2018-09-24,0.079565,-0.106993,0.744967
2018-10-23,0.04832,-0.106993,0.463793
2018-11-21,0.043812,-0.139131,0.416221
2018-12-24,0.028375,-0.15575,0.294726
2019-01-25,0.052551,-0.15575,0.496727
2019-02-26,0.053362,-0.161674,0.502196
2019-03-27,0.052543,-0.174851,0.49185
2019-04-26,0.050989,-0.174851,0.482471
2019-05-28,0.044336,-0.174851,0.429923
2019-06-26,0.036625,-0.174851,0.371491
2019-07-26,0.029416,-0.174851,0.311062
2019-08-26,0.044194,-0.174851,0.437351
2019-09-25,0.040095,-0.174851,0.399297
2019-10-24,0.047869,-0.174851,0.461377
2019-11-22,0.04939,-0.174851,0.471146
2019-12-24,0.058572,-0.174851,0.552059
2020-01-27,0.057989,-0.174851,0.547197
2020-02-26,0.06591,-0.174851,0.60843
2020-03-26,0.018903,-0.1796,0.212806
2020-04-27,0.009066,-0.1796,0.135266
2020-05-27,0.002182,-0.1796,0.080132
2020-06-25,0.008241,-0.196655,0.128492
2020-07-27,0.02205,-0.196655,0.23782
2020-08-25,0.041501,-0.196655,0.389826
2020-09-24,0.01339,-0.196655,0.168393
2020-10-23,0.017257,-0.196655,0.197367
2020-11-23,0.002337,-0.196655,0.084191
2020-12-23,0.00665,-0.196655,0.116777
2021-01-26,0.014024,-0.196655,0.17126
2021-02-25,0.011646,-0.196655,0.153911
2021-03-26,0.022889,-0.196655,0.232783
2021-04-27,0.033822,-0.196655,0.309332
2021-05-26,0.014937,-0.196655,0.175855
2021-06-25,0.028313,-0.196655,0.267673
2021-07-27,0.013075,-0.196655,0.162674
2021-08-25,0.01441,-0.196655,0.171432
2021-09-24,0.020816,-0.184334,0.213814
