window_end,cagr,max_drawdown,sharpe
2014-10-22,0.056809,-0.087346,0.583358
2014-11-20,0.059222,-0.087346,0.636825
2014-12-22,0.0555,-0.087346,0.630953
2015-01-23,0.046139,-0.087346,0.536547
2015-02-24,0.035452,-0.087346,0.424889
2015-03-25,0.033627,-0.084486,0.404452
2015-04-24,0.049333,-0.082742,0.57441
2015-05-26,0.057184,-0.082742,0.661221
2015-06-24,0.05512,-0.082742,0.649939
2015-07-24,0.03211,-0.082742,0.406403
2015-08-24,-0.00589,-0.136887,-0.022296
2015-09-23,-0.011153,-0.140485,-0.076992
2015-10-22,0.012294,-0.142375,0.178599
2015-11-20,0.010229,-0.142375,0.156268
2015-12-22,-0.005118,-0.142375,-0.007858
2016-01-25,-0.03335,-0.189564,-0.306466
2016-02-24,-0.015369,-0.189564,-0.1096
2016-03-24,-0.008313,-0.189564,-0.034752
2016-04-25,0.00111,-0.189564,0.060206
2016-05-24,-0.001457,-0.189564,0.034059
2016-06-23,0.030873,-0.189564,0.367138
2016-07-25,0.018855,-0.189564,0.24226
2016-08-23,0.027599,-0.189564,0.332363
2016-09-22,0.021705,-0.189564,0.270558
2016-10-21,0.009092,-0.189564,0.142083
2016-11-21,0.007887,-0.189564,0.12979
2016-12-21,0.008057,-0.189564,0.131514
2017-01-24,0.019293,-0.189564,0.247624
2017-02-23,0.017025,-0.189564,0.225483
2017-03-24,0.017383,-0.189564,0.228963
2017-04-25,0.020423,-0.189564,0.261624
2017-05-24,0.017483,-0.189564,0.230334
2017-06-23,0.01028,-0.189564,0.155404
2017-07-25,0.015127,-0.189564,0.205945
2017-08-23,0.01607,-0.189564,0.215705
2017-09-22,0.032818,-0.181843,0.389296
2017-10-23,0.043975,-0.181843,0.510553
2017-11-21,0.043002,-0.181843,0.501806
2017-12-21,0.052579,-0.181843,0.606316
2018-01-24,0.067463,-0.181843,0.76287
2018-02-23,0.051765,-0.181843,0.582824
2018-03-26,0.054765,-0.181843,0.614693
2018-04-25,0.039537,-0.181843,0.454766
2018-05-24,0.053293,-0.168455,0.594923
2018-06-25,0.051103,-0.157732,0.573834
2018-07-25,0.073949,-0.128736,0.803587
2018-08-23,0.094306,-0.118808,1.021547
2018-09-24,0.090089,-0.118808,1.014269
2018-10-23,0.053687,-0.118808,0.633057
2018-11-21,0.0539,-0.116762,0.622431
2018-12-24,0.038843,-0.162848,0.461626
2019-01-25,0.090006,-0.162848,0.989727
2019-02-26,0.091676,-0.162848,1.02419
2019-03-27,0.078367,-0.162848,0.891436
2019-04-26,0.075746,-0.162848,0.87306
2019-05-28,0.063521,-0.162848,0.741297
2019-06-26,0.077201,-0.162848,0.892934
2019-07-26,0.066682,-0.162848,0.7883
2019-08-26,0.053339,-0.162848,0.633055
2019-09-25,0.061722,-0.162848,0.736484
2019-10-24,0.068374,-0.162848,0.807849
2019-11-22,0.077747,-0.162848,0.916942
2019-12-24,0.089231,-0.162848,1.045867
2020-01-27,0.076578,-0.162848,0.906817
2020-02-26,0.061142,-0.162848,0.722625
2020-03-26,0.018373,-0.242087,0.208219
2020-04-27,0.029957,-0.242087,0.289554
2020-05-27,0.043657,-0.242087,0.383512
2020-06-25,0.054186,-0.242087,0.449221
2020-07-27,0.068304,-0.242087,0.54279
2020-08-25,0.080831,-0.242087,0.623782
2020-09-24,0.055886,-0.242087,0.452133
2020-10-23,0.068558,-0.242087,0.53321
2020-11-23,0.074978,-0.242087,0.56992
2020-12-23,0.087648,-0.242087,0.648143
2021-01-26,0.082823,-0.242087,0.616505
2021-02-25,0.090208,-0.242087,0.665416
2021-03-26,0.102797,-0.242087,0.740792
2021-04-27,0.112794,-0.242087,0.804921
2021-05-26,0.112089,-0.242087,0.797186
2021-06-25,0.122338,-0.242087,0.857806
2021-07-27,0.115011,-0.242087,0.814862
2021-08-25,0.118652,-0.242087,0.836651
2021-09-24,0.117214,-0.242087,0.824472
2021-10-25,0.154699,-0.242087,1.05628
2021-11-23,0.159842,-0.242087,1.093581
2021-12-23,0.169124,-0.242087,1.149701
2022-01-25,0.135509,-0.242087,0.949644
2022-02-24,0.117801,-0.242087,0.837423
2022-03-25,0.128608,-0.242087,0.89742
2022-04-26,0.097709,-0.242087,0.702054
2022-05-25,0.105149,-0.242087,0.736612
2022-06-27,0.076856,-0.242087,0.559723
2022-07-27,0.074787,-0.242087,0.542659
2022-08-25,0.089338,-0.242087,0.629584
2022-09-26,0.037088,-0.242087,0.310523
2022-10-25,0.040904,-0.242087,0.330117
2022-11-23,0.056243,-0.242087,0.415056
2022-12-23,0.038747,-0.242087,0.311888
2023-01-26,0.061578,-0.242087,0.441254
2023-02-27,0.065467,-0.218926,0.464586
2023-03-28,0.111888,-0.218926,0.826077
2023-04-27,0.090564,-0.218926,0.709571
2023-05-26,0.074383,-0.218926,0.607455
2023-06-28,0.072414,-0.218926,0.605656
2023-07-28,0.06373,-0.218926,0.54224
2023-08-28,0.035642,-0.218926,0.335911
2023-09-27,0.039949,-0.218926,0.371374
2023-10-26,0.020199,-0.218926,0.220572
2023-11-27,0.018117,-0.218926,0.205519
2023-12-27,0.024987,-0.218926,0.25815
2024-01-29,0.014226,-0.218926,0.174991
2024-02-28,0.013928,-0.218926,0.172872
2024-03-28,0.025219,-0.218926,0.26265
2024-04-29,0.006461,-0.218926,0.113973
2024-05-29,0.004837,-0.218926,0.100962
2024-06-28,0.005173,-0.218926,0.103592
2024-07-30,0.010293,-0.218926,0.144662
2024-08-28,0.017352,-0.218926,0.199818
2024-09-27,0.025677,-0.218926,0.263637
2024-10-28,0.015449,-0.218926,0.184835
2024-11-26,0.016326,-0.205564,0.191453
2024-12-27,0.00496,-0.204666,0.1022
2025-01-30,0.03064,-0.199735,0.304335
2025-03-03,0.0245,-0.199735,0.257587
2025-04-01,0.019832,-0.199735,0.221062
2025-05-01,0.033327,-0.159839,0.314805
2025-06-02,0.048491,-0.154168,0.434236
2025-07-02,0.078957,-0.138562,0.671793
2025-08-01,0.068185,-0.138562,0.597737
2025-09-02,0.08191,-0.121043,0.708532
2025-10-01,0.138341,-0.121043,1.152182
2025-10-30,0.129882,-0.121043,1.120623
2025-12-01,0.113014,-0.121043,1.019403
