date,100_pct_voo,95_5,90_10,80_20,70_30,100_pct_momentum,100_pct_vti
2011-10-21,101924.8132,101830.2780,101735.7429,101546.6727,101357.6024,100034.1106,101884.3620
2011-10-24,103220.0108,103088.1551,102956.3665,102692.9904,102429.8826,100595.6391,103591.5450
2011-10-25,101223.2555,101332.4634,101441.1271,101656.8244,101870.3509,103304.5703,101481.7161
2011-10-26,102194.6560,102241.4575,102287.5736,102377.7557,102465.2142,103002.1585,102576.9402
2011-10-27,105720.4585,105543.2735,105365.1759,105006.2674,104643.7815,102010.2256,106120.1184
2011-10-28,105828.4027,105672.8347,105516.2796,105200.2304,104880.2991,102535.7458,106216.7888
2011-10-31,103112.0666,103157.3768,103201.1420,103284.0366,103360.7500,103724.7304,103527.1587
2011-11-01,100377.7693,100635.3849,100891.6776,101400.2553,101903.4251,105267.8099,100773.0789
2011-11-02,101960.7621,102136.6160,102310.6890,102653.4664,102989.0434,105132.4204,102431.9820
2011-11-03,103849.6175,103939.6042,104027.4731,104196.8504,104357.7351,105245.2489,104429.0893
2011-11-04,103256.0040,103364.8394,103471.6019,103678.8960,103877.8629,105035.7835,103865.3550
2011-11-07,103849.6175,104008.8873,104166.1751,104474.7809,104775.3871,106651.9071,104396.8606
2011-11-08,105090.8519,105135.4328,105177.6554,105255.0283,105322.9760,105535.5290,105653.0861
2011-11-09,101295.1977,101558.2588,101819.2237,102334.8075,102841.8360,106142.3735,101626.6348
2011-11-10,102212.6349,102380.9350,102546.6205,102870.1148,103183.0528,105073.1424,102528.5971
2011-11-11,104209.4345,104308.5717,104404.8089,104588.5712,104760.7002,105638.7066,104557.8699
2011-11-14,103202.0142,103379.5533,103554.3668,103895.7789,104226.1762,106224.9142,103527.1587
2011-11-15,103741.6910,103892.1110,104039.6963,104326.3334,104601.5455,106204.0098,104155.2951
2011-11-16,102068.7329,102295.4307,102519.5632,102960.0772,103390.1670,106100.4421,102415.8439
2011-11-17,100431.7326,100690.7695,100947.4397,101453.6157,101950.1324,105145.0403,100740.8501
2011-11-18,100287.8128,100560.8253,100831.5477,101366.0535,101891.1942,105293.9952,100595.9156
2011-11-21,98488.9405,98800.8692,99110.7849,99724.4972,100329.9194,104322.8364,98727.6601
2011-11-22,97967.2869,98358.5581,98748.3349,99523.3063,100292.0030,105480.7094,98260.6120
2011-11-23,95898.5452,96402.9813,96906.9170,97913.1674,98917.0562,105857.7062,96070.2350
2011-11-25,95610.7324,96071.9278,96532.1881,97449.7868,98363.2949,104623.6229,95764.2120
2011-11-28,98470.9705,98847.3113,99221.7438,99964.7757,100699.8508,105604.8294,98647.1356
2011-11-29,98758.8099,99104.9452,99448.9293,100130.3434,100802.8514,105244.6059,98953.1190
2011-11-30,102806.2749,102972.2824,103134.7018,103448.7224,103748.2325,105430.8512,103140.6192
2011-12-01,102734.2884,102877.6701,103017.3951,103285.8309,103539.5109,104896.0853,103140.6192
2011-12-02,102680.3606,102865.9593,103048.0182,103401.4541,103740.5468,105703.4643,103092.2840
2011-12-05,103795.6631,103884.6002,103969.6098,104127.8242,104270.2660,104823.6140,104219.7289
2011-12-06,103885.6018,103957.6775,104025.7945,104150.1380,104258.6075,104572.6106,104268.0167
2011-12-07,104227.3690,104310.7981,104390.2700,104537.3229,104668.4926,105140.2787,104541.7792
2011-12-08,101978.7941,102153.9676,102325.4118,102657.0509,102973.5913,104757.7719,102174.2706
2011-12-09,103705.7509,103749.1597,103788.3238,103853.9148,103902.5214,103768.4823,103994.2305
2011-12-12,102212.6349,102291.8552,102366.9196,102504.5591,102625.5151,103003.3309,102399.7532
2011-12-13,101241.2433,101339.0998,101432.8682,101608.1104,101766.9130,102414.9017,101304.5924
2011-12-14,100107.9531,100227.5086,100343.0640,100562.1333,100765.0826,101729.2023,100144.9740
2011-12-15,100485.7312,100568.2049,100646.5769,100790.9921,100918.9346,101351.1912,100515.3912
2011-12-16,100557.6645,100712.8699,100864.0839,101154.4786,101428.7347,102888.5134,100853.6112
2011-12-19,99532.3008,99766.4812,99996.9529,100446.6727,100881.2703,103485.3400,99677.9101
2011-12-20,102500.4743,102556.2065,102607.2626,102695.3299,102764.6491,102724.5212,102802.3992
2011-12-21,102806.2749,102811.3513,102811.6869,102798.1476,102765.6854,102012.8798,102998.3731
2011-12-22,103777.6665,103728.3343,103674.2162,103551.6642,103410.0992,101896.1022,104067.4093
2011-12-23,104597.4559,104480.0878,104357.9666,104099.5443,103822.3530,101372.0017,104861.0542
2011-12-27,104706.0381,104565.1320,104419.5227,104114.2863,103790.5183,101022.8448,104877.2239
2011-12-28,103421.1812,103336.0439,103246.1106,103051.9177,102838.7323,100827.3660,103597.6650
2011-12-29,104362.1885,104223.5185,104080.1006,103779.1130,103459.4148,100715.2265,104618.0972
2011-12-30,103964.0568,103881.3142,103793.6894,103603.8547,103394.6810,101401.6815,104148.3687
2012-01-03,105502.2662,105327.6010,105148.1344,104774.9100,104382.8248,101131.3096,105622.3439
2012-01-04,105683.2248,105468.5079,105249.1169,104796.4473,104325.4906,100541.4054,105670.9321
2012-01-05,106027.0743,105787.8807,105544.0966,105042.9050,104523.7998,100415.1786,106140.6369
2012-01-06,105809.9010,105590.0612,105365.5533,104902.6714,104421.5361,100567.6154,105897.6720
2012-01-09,105972.7566,105746.0122,105514.6205,105038.0369,104543.2936,100597.3251,106140.6369
2012-01-10,106877.6024,106617.8509,106353.5484,105811.4494,105251.6280,100865.1083,107193.4481
2012-01-11,106986.1669,106744.2468,106497.6813,105990.7644,105465.7210,101309.9429,107387.8485
2012-01-12,107221.4165,106965.5614,106705.1127,106170.5917,105618.1724,101278.2978,107647.0069
2012-01-13,106768.9936,106548.4806,106323.2264,105858.6339,105375.4995,101499.7665,107144.8678
2012-01-17,107058.5343,106850.5331,106637.7224,106197.8056,105739.0541,102024.7899,107387.8485
2012-01-18,108252.9120,107974.4860,107691.4682,107111.8278,106514.3364,101862.4411,108683.6168
2012-01-19,108832.0023,108498.2419,108160.1474,107471.1549,106765.4254,101391.4060,109347.6904
2012-01-20,108832.0023,108473.6721,108111.1609,107373.8061,106620.3611,100932.1976,109380.0773
2012-01-23,108940.5845,108559.9662,108175.3094,107394.1005,106597.4013,100624.7801,109412.5037
2012-01-24,108777.7378,108407.3540,108032.8693,107271.8127,106495.0024,100653.5460,109396.2944
2012-01-25,109736.8570,109325.9457,108911.1548,108070.1682,107214.3679,100849.1010,110400.5411
2012-01-26,109175.8696,108819.1146,108458.1047,107723.5317,106972.5767,101293.9356,109833.6282
2012-01-27,109031.0549,108677.6823,108320.0411,107592.1629,106847.8432,101213.7348,109914.6349
2012-01-30,108669.1379,108356.5583,108039.4635,107391.9194,106726.8909,101615.7460,109477.2696
2012-01-31,108614.8822,108330.5329,108041.5063,107449.5985,106839.5167,102091.5662,109428.6576
2012-02-01,109646.3866,109283.2935,108915.8846,108168.3366,107404.1806,101627.8431,110692.0706
2012-02-02,109863.5244,109509.3203,109150.7272,108420.5873,107673.5350,102007.8008,110886.4631
2012-02-03,111419.7836,110869.0311,110315.0817,109197.8996,108068.8509,99884.5629,112538.6136
2012-02-06,111256.9015,110738.3243,110216.2416,109161.8552,108094.3351,100303.7883,112473.7845
2012-02-07,111600.7865,111063.3741,110522.6079,109431.3167,108327.5197,100301.6471,112732.9192
2012-02-08,111836.0006,111270.1005,110701.1057,109554.1456,108395.7470,100018.9559,112975.8841
2012-02-09,111962.6858,111359.9288,110754.4441,109535.6170,108306.8540,99481.1799,113154.0674
2012-02-10,111202.6547,110667.8067,110129.5555,109043.1487,107944.0454,99946.0743,112263.1827
2012-02-13,112053.1385,111481.3190,110906.3901,109747.5236,108577.1772,100116.5601,113121.6251
2012-02-14,111890.3095,111337.7235,110781.8428,109660.5103,108526.9382,100301.6071,112959.6827
2012-02-15,111401.6718,110885.2227,110365.1566,109314.4732,108250.2228,100471.1970,112473.7845
2012-02-16,112614.1524,112005.7805,111394.5617,110163.9196,108922.8970,100000.7787,113818.1647
2012-02-17,112885.6345,112251.6526,111615.0804,110334.5093,109044.6073,99810.7400,113980.1387
